TIMESTAMP;Rx Power [dBm];Relative Coordinates [m];Target Coordinates [m];Distance Target - Anchor [m]
Thu Mar 16 10:45:31 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:45:32 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:45:33 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:45:34 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:45:40 2023;-74;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:45:41 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:45:42 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:45:43 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:45:44 2023;-73;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:45:45 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:45:48 2023;-73;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:45:50 2023;-67;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:45:51 2023;-73;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:45:52 2023;-67;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:45:53 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:45:56 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:45:58 2023;-74;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:45:59 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:46:00 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:46:01 2023;-67;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:46:03 2023;-67;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:46:04 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:46:07 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:46:10 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:46:13 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:46:15 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:46:17 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:46:18 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:46:20 2023;-67;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:46:22 2023;-67;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:46:24 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:46:25 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:46:28 2023;-67;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:46:29 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:46:32 2023;-67;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:46:34 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:46:35 2023;-73;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:46:36 2023;-67;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:46:37 2023;-73;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:46:38 2023;-73;-0.4, 15;4.6, 0;15.8113883
