Timestamp;Date ISO;Rx Power [dBm]
1679668532.803941247;2023-03-24 14:35:32;-51
1679668532.994177043;2023-03-24 14:35:32;-49
1679668533.902981246;2023-03-24 14:35:33;-51
1679668534.216580172;2023-03-24 14:35:34;-51
1679668535.478183338;2023-03-24 14:35:35;-49
1679668535.840330541;2023-03-24 14:35:35;-47
1679668535.859628356;2023-03-24 14:35:35;-47
1679668539.721602057;2023-03-24 14:35:39;-51
1679668540.049325187;2023-03-24 14:35:40;-50
1679668540.070347724;2023-03-24 14:35:40;-50
1679668540.757917094;2023-03-24 14:35:40;-51
1679668541.224282630;2023-03-24 14:35:41;-52
1679668541.570163390;2023-03-24 14:35:41;-51
1679668541.614139186;2023-03-24 14:35:41;-51
1679668541.657622538;2023-03-24 14:35:41;-56
1679668543.468032092;2023-03-24 14:35:43;-52
1679668543.914555610;2023-03-24 14:35:43;-50
1679668545.247071387;2023-03-24 14:35:45;-49
1679668545.268144647;2023-03-24 14:35:45;-49
1679668545.688206609;2023-03-24 14:35:45;-50
1679668545.956673776;2023-03-24 14:35:45;-47
1679668545.975998868;2023-03-24 14:35:45;-47
1679668549.287935866;2023-03-24 14:35:49;-51
1679668549.308119626;2023-03-24 14:35:49;-49
1679668549.734401218;2023-03-24 14:35:49;-51
1679668550.123647551;2023-03-24 14:35:50;-51
1679668550.543281477;2023-03-24 14:35:50;-51
1679668550.565469792;2023-03-24 14:35:50;-51
1679668550.924185051;2023-03-24 14:35:50;-52
1679668550.946847828;2023-03-24 14:35:50;-51
1679668551.344061865;2023-03-24 14:35:51;-52
1679668552.190515124;2023-03-24 14:35:52;-51
1679668552.610568587;2023-03-24 14:35:52;-52
1679668552.775220864;2023-03-24 14:35:52;-51
1679668552.838960679;2023-03-24 14:35:52;-52
1679668552.864000235;2023-03-24 14:35:52;-56
1679668553.904782808;2023-03-24 14:35:53;-52
1679668554.392963437;2023-03-24 14:35:54;-57
1679668554.770155271;2023-03-24 14:35:54;-48
1679668555.466771418;2023-03-24 14:35:55;-47
1679668555.487095770;2023-03-24 14:35:55;-47
1679668559.906967619;2023-03-24 14:35:59;-51
1679668561.083063656;2023-03-24 14:36:01;-51
1679668561.544322285;2023-03-24 14:36:01;-51
1679668561.924710692;2023-03-24 14:36:01;-51
1679668562.418068266;2023-03-24 14:36:02;-51
1679668563.051367303;2023-03-24 14:36:03;-52
1679668563.530638358;2023-03-24 14:36:03;-51
1679668563.935628469;2023-03-24 14:36:03;-57
1679668564.032829247;2023-03-24 14:36:04;-56
1679668564.052179580;2023-03-24 14:36:04;-56
1679668564.077822080;2023-03-24 14:36:04;-51
1679668564.097274395;2023-03-24 14:36:04;-50
1679668564.166610154;2023-03-24 14:36:04;17
1679668564.211806987;2023-03-24 14:36:04;-49
1679668564.315949746;2023-03-24 14:36:04;-52
1679668568.687220392;2023-03-24 14:36:08;-51
1679668568.866084225;2023-03-24 14:36:08;-51
1679668569.558717854;2023-03-24 14:36:09;-51
1679668569.644155336;2023-03-24 14:36:09;-51
1679668569.708078595;2023-03-24 14:36:09;-84
1679668570.333282724;2023-03-24 14:36:10;-51
1679668571.466937964;2023-03-24 14:36:11;-51
1679668571.487278038;2023-03-24 14:36:11;-51
1679668571.556909946;2023-03-24 14:36:11;-49
1679668572.296082686;2023-03-24 14:36:12;-51
1679668573.161898352;2023-03-24 14:36:13;-53
1679668574.195663629;2023-03-24 14:36:14;17
1679668574.215459500;2023-03-24 14:36:14;-48
1679668574.295634963;2023-03-24 14:36:14;-49
1679668593.708564544;2023-03-24 14:36:33;17
1679668599.303026022;2023-03-24 14:36:39;-52
1679668599.323726466;2023-03-24 14:36:39;-49
1679668603.906866038;2023-03-24 14:36:43;-51
1679668604.101397463;2023-03-24 14:36:44;-46
1679668604.120825223;2023-03-24 14:36:44;-46
1679668607.653023850;2023-03-24 14:36:47;-51
1679668607.674704609;2023-03-24 14:36:47;-52
1679668608.102199887;2023-03-24 14:36:48;-52
1679668609.335378868;2023-03-24 14:36:49;-52
1679668609.604752386;2023-03-24 14:36:49;-49
1679668610.804611904;2023-03-24 14:36:50;-51
1679668611.629983755;2023-03-24 14:36:51;-74
1679668611.825777459;2023-03-24 14:36:51;-51
1679668611.870769551;2023-03-24 14:36:51;-52
1679668613.267293939;2023-03-24 14:36:53;-53
1679668631.364607077;2023-03-24 14:37:11;-52
1679668631.385171466;2023-03-24 14:37:11;-52
1679668636.933088036;2023-03-24 14:37:16;-51
1679668648.316167048;2023-03-24 14:37:28;-52
1679668648.337599789;2023-03-24 14:37:28;-52
1679668648.981630788;2023-03-24 14:37:28;-52
1679668649.527348473;2023-03-24 14:37:29;-56
1679668649.546730418;2023-03-24 14:37:29;-56
1679668650.613909139;2023-03-24 14:37:30;-51
1679668652.117630398;2023-03-24 14:37:32;-53
1679668652.458852194;2023-03-24 14:37:32;-46
1679668652.479168694;2023-03-24 14:37:32;-46
1679668652.737643416;2023-03-24 14:37:32;-51
1679668652.757227360;2023-03-24 14:37:32;-51
1679668656.055518173;2023-03-24 14:37:36;-52
1679668656.075353803;2023-03-24 14:37:36;-51
1679668656.502160247;2023-03-24 14:37:36;-52
1679668656.523934117;2023-03-24 14:37:36;-51
1679668659.158920875;2023-03-24 14:37:39;-51
1679668659.178239153;2023-03-24 14:37:39;-52
1679668660.286548837;2023-03-24 14:37:40;-49
1679668660.671292263;2023-03-24 14:37:40;-53
1679668660.715072078;2023-03-24 14:37:40;-56
1679668661.316893411;2023-03-24 14:37:41;-49
1679668661.698019670;2023-03-24 14:37:41;17
1679668662.157736632;2023-03-24 14:37:42;-51
1679668662.177321966;2023-03-24 14:37:42;-51
1679668665.883762075;2023-03-24 14:37:45;-51
1679668666.239430352;2023-03-24 14:37:46;-51
1679668666.263773519;2023-03-24 14:37:46;-51
1679668667.704231425;2023-03-24 14:37:47;-51
1679668667.725639222;2023-03-24 14:37:47;-52
1679668667.782458666;2023-03-24 14:37:47;-49
1679668670.015303331;2023-03-24 14:37:50;-52
1679668670.140576961;2023-03-24 14:37:50;-49
1679668670.786081146;2023-03-24 14:37:50;-53
1679668670.807839498;2023-03-24 14:37:50;-50
1679668670.944959905;2023-03-24 14:37:50;-55
1679668671.060337405;2023-03-24 14:37:51;-54
1679668671.229258368;2023-03-24 14:37:51;-48
1679668675.060759069;2023-03-24 14:37:55;-52
1679668675.080074384;2023-03-24 14:37:55;-51
1679668675.266560365;2023-03-24 14:37:55;-49
1679668677.446810290;2023-03-24 14:37:57;-51
1679668677.469462290;2023-03-24 14:37:57;-51
1679668677.492643364;2023-03-24 14:37:57;-52
1679668677.558901290;2023-03-24 14:37:57;-56
1679668678.564081493;2023-03-24 14:37:58;-51
1679668678.693159993;2023-03-24 14:37:58;-51
1679668679.554147344;2023-03-24 14:37:59;-52
1679668679.576622492;2023-03-24 14:37:59;-51
1679668680.311620603;2023-03-24 14:38:00;-52
1679668680.531708936;2023-03-24 14:38:00;-53
1679668680.550827659;2023-03-24 14:38:00;-70
1679668681.257890121;2023-03-24 14:38:01;-53
1679668681.499195584;2023-03-24 14:38:01;-46
1679668681.519581214;2023-03-24 14:38:01;-47
1679668685.265464563;2023-03-24 14:38:05;-49
1679668686.054213544;2023-03-24 14:38:06;-52
1679668686.174781377;2023-03-24 14:38:06;-51
1679668686.990837840;2023-03-24 14:38:06;-51
1679668687.084185969;2023-03-24 14:38:07;-49
1679668687.794210932;2023-03-24 14:38:07;-52
1679668687.925564728;2023-03-24 14:38:07;-49
1679668688.637992691;2023-03-24 14:38:08;-51
1679668688.676462931;2023-03-24 14:38:08;-51
1679668688.721500802;2023-03-24 14:38:08;-52
1679668688.740804357;2023-03-24 14:38:08;-52
1679668688.766469320;2023-03-24 14:38:08;-56
1679668688.785775265;2023-03-24 14:38:08;-56
1679668689.931429431;2023-03-24 14:38:09;-52
1679668689.953071820;2023-03-24 14:38:09;-51
1679668690.022005042;2023-03-24 14:38:10;-50
1679668690.043250264;2023-03-24 14:38:10;-51
1679668690.401949134;2023-03-24 14:38:10;-49
1679668691.407968022;2023-03-24 14:38:11;-46
