Timestamp;Date ISO;POTENZA_dBm
1679667656.563499213;2023-03-24 14:20:56;-57
1679667656.705919639;2023-03-24 14:20:56;-54
1679667657.110308028;2023-03-24 14:20:57;-57
1679667657.131594732;2023-03-24 14:20:57;-58
1679667657.195945657;2023-03-24 14:20:57;-62
1679667658.225460416;2023-03-24 14:20:58;-57
1679667658.513078083;2023-03-24 14:20:58;-57
1679667659.186746656;2023-03-24 14:20:59;-57
1679667659.373090434;2023-03-24 14:20:59;-55
1679667662.016877895;2023-03-24 14:21:02;-57
1679667666.671221874;2023-03-24 14:21:06;-57
1679667667.414338966;2023-03-24 14:21:07;-57
1679667668.143202355;2023-03-24 14:21:08;-57
1679667668.199471892;2023-03-24 14:21:08;-57
1679667668.312974077;2023-03-24 14:21:08;-54
1679667669.933167131;2023-03-24 14:21:09;-57
1679667670.185838298;2023-03-24 14:21:10;-58
1679667671.120102779;2023-03-24 14:21:11;-54
1679667671.246439797;2023-03-24 14:21:11;17
1679667671.407021149;2023-03-24 14:21:11;-56
1679667671.496949241;2023-03-24 14:21:11;-51
1679667675.043275332;2023-03-24 14:21:15;-57
1679667675.062555702;2023-03-24 14:21:15;-57
1679667675.119353554;2023-03-24 14:21:15;-54
1679667692.244775840;2023-03-24 14:21:32;-54
1679667703.902912593;2023-03-24 14:21:43;-57
1679667704.457377222;2023-03-24 14:21:44;-59
1679667704.812849777;2023-03-24 14:21:44;-53
1679667704.831950907;2023-03-24 14:21:44;-55
1679667705.227317370;2023-03-24 14:21:45;-58
1679667708.908558145;2023-03-24 14:21:48;-57
1679667710.169980978;2023-03-24 14:21:50;-57
1679667710.568581589;2023-03-24 14:21:50;-58
1679667710.588131940;2023-03-24 14:21:50;-57
1679667710.983875366;2023-03-24 14:21:50;-57
1679667711.382844995;2023-03-24 14:21:51;-57
1679667711.793594088;2023-03-24 14:21:51;-57
1679667711.812886366;2023-03-24 14:21:51;-57
1679667712.208665828;2023-03-24 14:21:52;-57
1679667712.448393939;2023-03-24 14:21:52;-57
1679667712.471119439;2023-03-24 14:21:52;-57
1679667712.514687736;2023-03-24 14:21:52;-62
1679667712.534046902;2023-03-24 14:21:52;-62
1679667713.501802402;2023-03-24 14:21:53;-57
1679667713.523640198;2023-03-24 14:21:53;-57
