Timestamp;Rx Power [dBm];Relative Coordinates [m];Target Coordinates [m];Distance Target - Anchor [m]
Wed Jan 25 17:11:26 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:11:27 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:11:28 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:11:31 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:11:32 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:11:34 2023;-62;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:11:36 2023;-63;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:11:37 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:11:39 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:11:40 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:11:43 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:11:44 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:11:45 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:11:46 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:11:48 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:11:49 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:11:50 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:11:51 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:11:53 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:11:56 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:11:57 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:12:02 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:12:03 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:12:04 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:12:05 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:12:06 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:12:08 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:12:09 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:12:10 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:12:12 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:12:14 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:12:15 2023;-62;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:12:16 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:12:17 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:12:18 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:12:19 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:12:21 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:12:22 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:12:24 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:12:25 2023;-62;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:12:26 2023;-62;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:12:27 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:12:28 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:12:29 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:12:30 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:12:32 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:12:33 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:12:34 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:12:36 2023;-62;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:12:38 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:12:39 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:12:41 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:12:43 2023;-57;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:12:44 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:12:45 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:12:46 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:12:47 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:12:50 2023;-62;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:12:51 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:12:52 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:12:54 2023;-62;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:12:56 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:12:57 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:12:58 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:13:01 2023;-62;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:13:02 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:13:03 2023;-62;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:13:04 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:13:05 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:13:06 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:13:07 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:13:08 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:13:09 2023;-63;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:13:12 2023;-62;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:13:13 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:13:16 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:13:18 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:13:19 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:13:21 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:13:23 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:13:24 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:13:26 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:13:31 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:13:32 2023;-62;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:13:33 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:13:36 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:13:37 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:13:38 2023;-62;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:13:39 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:13:42 2023;-62;-10.55, -7.5;0, 0;12.944
